product_names,price,location
Suzuki Swift  2024 GLX CVT for Sale,PKR 49.8 lacs,Lahore
Toyota Passo  2014 X for Sale,PKR 29.75 lacs,Islamabad
Suzuki Wagon R  2016 FX Limited for Sale,PKR 24.75 lacs,Islamabad
Suzuki Wagon R  2017 Hybrid FX for Sale,PKR 29.95 lacs,Islamabad
Honda City 6th Generation 2024 1.5L ASPIRE CVT for Sale,PKR 57.5 lacs,Lahore
Suzuki Alto  2024 VXR AGS for Sale,PKR 29.9 lacs,Lahore
Changan Oshan X7  2024 FutureSense for Sale,PKR 88.99 lacs,Lahore
Toyota Fortuner  2024 GR-S for Sale,Call,Lahore
Suzuki Alto  2024 VXL AGS for Sale,PKR 31.6 lacs,Lahore
Toyota Vitz  2005  for Sale,PKR 19.5 lacs,Islamabad
Toyota Fortuner  2018 2.7 VVTi for Sale,PKR 1.07 crore,Karachi
Isuzu D-Max  2019 V-Cross Automatic 3.0 for Sale,PKR 82 lacs,Islamabad
KIA Sportage  2020 FWD for Sale,PKR 64.5 lacs,Lahore
Honda Civic  2016 Oriel 1.8 i-VTEC CVT for Sale,PKR 41.5 lacs,Lahore
Suzuki Swift  2024 GL CVT for Sale,PKR 49.5 lacs,Kohat
Toyota Raize  2019 Z for Sale,PKR 67.2 lacs,Quetta
Suzuki Wagon R  2022 AGS for Sale,PKR 33.5 lacs,Karachi
KIA Picanto  2020 1.0 AT for Sale,PKR 21.5 lacs,Karachi
KIA Sorento  2023 3.5 FWD for Sale,PKR 99 lacs,Kharian
Suzuki Swift  2018  for Sale,PKR 29 lacs,Rawalpindi
Toyota Hilux  2019 Revo V Automatic 3.0  for Sale,PKR 1.05 crore,Islamabad
Toyota Vitz  2008 F 1.0 for Sale,PKR 22.3 lacs,Islamabad
Toyota Corolla  2016 Altis Grande CVT-i 1.8 for Sale,PKR 41.75 lacs,Lahore
Suzuki Wagon R  2019 Hybrid FX for Sale,PKR 35.7 lacs,Peshawar
Suzuki Wagon R  2007  for Sale,PKR 14.75 lacs,Lahore
Suzuki Swift  2024 GLX CVT for Sale,PKR 49.8 lacs,Lahore
Toyota Passo  2014 X for Sale,PKR 29.75 lacs,Islamabad
Suzuki Wagon R  2016 FX Limited for Sale,PKR 24.75 lacs,Islamabad
Suzuki Wagon R  2017 Hybrid FX for Sale,PKR 29.95 lacs,Islamabad
Honda City 6th Generation 2024 1.5L ASPIRE CVT for Sale,PKR 57.5 lacs,Lahore
Suzuki Alto  2024 VXR AGS for Sale,PKR 29.9 lacs,Lahore
Toyota Fortuner  2024 GR-S for Sale,Call,Lahore
Changan Oshan X7  2024 FutureSense for Sale,PKR 88.99 lacs,Lahore
